Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
cis-4-Hydroxycyclohexylacetic acid,132318,,Chemical Diagnostic,HMDB0000451
Etiocholanolone,728204,5尾-Androstan-3伪-ol-17-one,Chemical Diagnostic,HMDB0000490
3-Methyl-2-oxovaleric acid,138721,"KMV, 伪-Keto-尾-methylvaleric acid",Chemical Diagnostic,HMDB0000491
Allopregnanolone,354733,"3α-Hydroxy-5α-pregnan-20-one, Brexanolone",Chemical Diagnostic,HMDB0001449
LysoPC(18:1(9Z)),544543,1-Oleoyl-sn-glycero-3-phosphocholine,Chemical Diagnostic,HMDB0002815
8-Isoprostaglandin F2a,694381,"8-iso-PGF2伪, iPF2伪-III",Chemical Diagnostic,HMDB0005083
Dibromochloromethane (Chlorodibromomethane),284524,,Exposure Chemical,HMDB0059903
"trans-3-(2,2-Dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA)",830299,trans-DCCA,Exposure Chemical,HMDB0242452
"2-Amino-9H-pyrido[2,3-b]indole (A-α-C)",728154,"A-alpha-C, AαC",Exposure Chemical,HMDB0033141
Tetrachloromethane (Carbon tetrachloride),787069,Carbon tetrachloride,Exposure Chemical,HMDB0031330
BCL10,624169,,Karyotype,30052
BCL9,720761,,Karyotype,29243
RBM15,127007,,Karyotype,29817
FOXP1,360825,,Karyotype,29543
BCL6,709380,,Karyotype,30254
CCND3,564107,,Karyotype,30043
TCL1A,139507,,Karyotype,29992
MYC,236078,,Karyotype,29975
PAX5,312528,,Karyotype,29938
TLX1,552780,,Karyotype,29089
CCND1,966045,,Karyotype,29103
KMT2A,767574,,Karyotype,30230
CCND2,405216,,Karyotype,29236
BCL2,852675,,Karyotype,29177
BCL3,122656,,Karyotype,29351
IGL,552392,,Karyotype,29543
JAK2,342000,,Karyotype,29394
PDGFRA,937887,,Karyotype,29810
ABL1,313887,,Karyotype,28997
PDGFRB,301840,,Karyotype,29548
NSD1,398988,,Karyotype,29531
IL5,904063,,Karyotype,29495
FGFR1,878851,,Karyotype,29999
LCK,527663,,Karyotype,29415
TAL1,618833,,Karyotype,30272
TCF3,700684,,Karyotype,29774
IL3,124654,,Karyotype,30087
MYB,955096,,Karyotype,29031
IRF4,403651,,Karyotype,29851
TCRB,722302,,Karyotype,28951
RHOH,943715,,Karyotype,30258
(TCRB locus),412476,,Karyotype,30077
(Loss of 7p),523920,,Karyotype,29305
NOTCH1,860607,,Karyotype,30010
TAL2,176042,,Karyotype,29696
TLX3,404237,,Karyotype,29092
LMO1,145810,,Karyotype,29266
ETV6,144218,,Karyotype,30030
LYL1,833343,,Karyotype,30221
TRD,286988,,Karyotype,29809
CDKN2A,792618,,Karyotype,29478
EZH2,632158,,Karyotype,29578
RPS14,858047,,Karyotype,30063
ASXL1,635251,,Karyotype,29612
RB1,393652,,Karyotype,30154
ATM,215456,,Karyotype,29878
(Iso-dicentric X),799473,,Karyotype,29737
MECOM,949312,,Karyotype,29453
(Loss of 7),385412,,Karyotype,30173
RUNX1,572836,,Karyotype,28993
RARA,983085,,Karyotype,29124
DEK,161850,,Karyotype,29979
NUP98,102013,,Karyotype,29872
KAT6A,484154,,Karyotype,29510
CBFB,551175,,Karyotype,30084
FUS,186554,,Karyotype,29464
TP53,964311,,Karyotype,29674
(Various),541925,,Karyotype,30186
(Gain of 1q),996585,,Karyotype,29909
(Dicentric chr),684694,,Karyotype,29768
(Whole Chromosome),290346,,Karyotype,30205
(Derivative chr),699835,,Karyotype,30236
(Loss of 5q),431469,,Karyotype,29024
NPM1,397507,,Karyotype,29279
(Translocation),765912,,Karyotype,28960
(Loss of Y chromosome),953407,,Karyotype,29090
(Deletion),508936,,Karyotype,29268
SHANK3,147332,,Karyotype,29810
CEBPA,790616,,Karyotype,29191
CHRNA7,486503,,Karyotype,29401
SPN,863670,,Karyotype,29310
TBX2,688121,,Karyotype,29662
(IGH locus),499720,,Karyotype,29619
MAF,881881,,Karyotype,29932
ALK,638702,,Karyotype,29940
(IGL locus),123004,,Karyotype,29502
PICALM,235030,,Karyotype,29006
LMO2,291298,,Karyotype,30042
LRP1,703187,,Karyotype,30171
ERG,308241,,Karyotype,28994
TBXAS1,128507,,Karyotype,30289
MAGI2,482152,,Karyotype,29042
PDE4B,622248,,Karyotype,29128
PYGL,555205,,Karyotype,29161
TOMM40,306268,,Karyotype,29739
GLI3,539140,,Karyotype,30098
IKZF4,800898,,Karyotype,29354
STAT6,511971,,Karyotype,29365
LPP,641151,,Karyotype,30278
IL13,314172,,Karyotype,29813
TLR1,593193,,Karyotype,28955
CD247,671835,,Karyotype,29592
IL2RA,400380,,Karyotype,29398
IL1RL1,634127,,Karyotype,29711
D2HGDH,917507,,Karyotype,30199
GSDMB,590896,,Karyotype,29270
SMAD3,261379,,Karyotype,29937
IL7R,108766,,Karyotype,29882
SORL1,755119,,Karyotype,29520
CD2AP,603396,,Karyotype,29112
SLC24A4,770260,,Karyotype,29813
CR1,609800,,Karyotype,30130
SQSTM1,746879,,Karyotype,30261
ATXN3,198813,,Karyotype,30062
KIF5A,486861,,Karyotype,29654
NOTCH4,439800,,Karyotype,29846
ZFHX3,936022,,Karyotype,29438
HBEGF,979864,,Karyotype,29292
CAV1,572072,,Karyotype,29028
TBX5,686764,,Karyotype,29664
MACROD2,410661,,Karyotype,29236
MC1R,446655,,Karyotype,29246
ITIH1,692341,,Karyotype,29683
GFI1B,461796,,Karyotype,29571
UGT1A8,193429,,Karyotype,30207
CDKAL1,438415,,Karyotype,29987
TACC3,527873,,Karyotype,29789
DIRC3,715367,,Karyotype,30102
FTO,358816,,Karyotype,29604
ZNF365,461408,,Karyotype,29292
PEX14,961039,,Karyotype,29019
ELL,800579,,Karyotype,29184
FGFR2,196428,,Karyotype,29093
ITPR1,450081,,Karyotype,29298
TCF7L2,261680,,Karyotype,29628
SCN5A,240224,,Karyotype,29715
NFIA,123549,,Karyotype,29603
MMEL1,507852,,Karyotype,29635
ETS1,142478,,Karyotype,29646
ATXN2,676145,,Karyotype,29821
UMOD,740150,,Karyotype,30258
BANK1,310210,,Karyotype,29635
SMAD7,984153,,Karyotype,30076
WNK1,375462,,Karyotype,29051
SMARCA4,489974,,Karyotype,29261
TCF21,510851,,Karyotype,30169
BTD,691115,,Karyotype,29025
LPA,576103,,Karyotype,30107
SH2B3,265006,,Karyotype,29442
PRNP,548935,,Karyotype,29453
IFNGR2,125999,,Karyotype,29362
JAZF1,370984,,Karyotype,29404
ATG16L1,465647,,Karyotype,28945
NOD2,288032,,Karyotype,29984
PVT1,125236,,Karyotype,29666
CD86,312660,,Karyotype,29803
AKT1,677358,,Karyotype,30163
HNF1B,181510,,Karyotype,29708
MMP8,492027,,Karyotype,30020
SCN1A,216501,,Karyotype,30106
CHEK2,132091,,Karyotype,29958
XBP1,856542,,Karyotype,29203
ADH1B,448793,,Karyotype,29901
EGR2,717534,,Karyotype,29089
SCN2A,854614,,Karyotype,29481
IFI44L,694154,,Karyotype,30026
SLC14A2,269208,,Karyotype,29168
TERT,716771,,Karyotype,29664
SLC2A9,614555,,Karyotype,28956
FCRL3,739714,,Karyotype,28943
TSHR,699657,,Karyotype,30246
ABO,515600,,Karyotype,29205
GRIK1,564885,,Karyotype,29980
GCKR,647202,,Karyotype,29110
HAVCR1,784229,,Karyotype,29077
PARK7,616019,,Karyotype,29085
MST1,811849,,Karyotype,29720
FEN1,121841,,Karyotype,29350
FCGR2A,251020,,Karyotype,29303
TNFSF15,807255,,Karyotype,29616
IRGM,942242,,Karyotype,29422
CARD9,615631,,Karyotype,30036
STAT3,215263,,Karyotype,29390
IL23R,866883,,Karyotype,29973
ALDH2,288316,,Karyotype,29652
PTPN13,256420,,Karyotype,29737
AFF3,462227,,Karyotype,30191
APOC1,475765,,Karyotype,30135
TP63,554886,,Karyotype,30166
DMRT1,140356,,Karyotype,30198
PRKCH,103016,,Karyotype,29108
PLA2G6,124290,,Karyotype,29030
MTAP,856826,,Karyotype,29343
PLCE1,270749,,Karyotype,29152
HPSE2,596807,,Karyotype,29161
PRDM16,806799,,Karyotype,29118
ANKRD11,102628,,Karyotype,29824
CDH12,879852,,Karyotype,29729
TNFRSF1A,774567,,Karyotype,29588
IL6R,153763,,Karyotype,29316
FES,225545,,Karyotype,30167
COL4A1,980271,,Karyotype,30197
NINJ1,448676,,Karyotype,30230
LEPR,331523,,Karyotype,29140
SCNN1A,426185,,Karyotype,29813
MLLT10,548361,,Karyotype,29001
OPTN,708661,,Karyotype,29183
GPNMB,548201,,Karyotype,29439
MCCC1,851431,,Karyotype,29180
MAPT,764935,,Karyotype,29249
GCH1,583915,,Karyotype,29760
BST1,370724,,Karyotype,29620
THADA,286314,,Karyotype,29347
EIF2AK3,539967,,Karyotype,29924
SLCO1A2,684334,,Karyotype,29415
SLC22A3,763099,,Karyotype,29957
IFIH1,190155,,Karyotype,28991
REV3L,377579,,Karyotype,29889
COG6,600309,,Karyotype,30113
DDX58,400197,,Karyotype,29631
NOS2,706443,,Karyotype,29166
TNFAIP3,376816,,Karyotype,30260
EPAS1,853880,,Karyotype,28976
SCARB1,275450,,Karyotype,29518
MEIS1,289741,,Karyotype,30068
MYT1,877850,,Karyotype,29202
BTBD9,891964,,Karyotype,29651
STAT4,723754,,Karyotype,29523
MANBA,164994,,Karyotype,29684
ATP2A2,229575,,Karyotype,29438
ADAMTSL3,358755,,Karyotype,29616
GIGYF2,662665,,Karyotype,29840
CACNB2,189698,,Karyotype,29389
CHRNA3,397979,,Karyotype,30246
GRM3,357992,,Karyotype,29478
SRR,545416,,Karyotype,29752
CNTN4,948167,,Karyotype,29922
CACNA1C,881277,,Karyotype,29870
FURIN,715373,,Karyotype,29978
SRC,583499,,Karyotype,29794
WDFY4,422612,,Karyotype,28945
NCF2,504464,,Karyotype,29853
ITGAM,958662,,Karyotype,30245
KDM4C,161253,,Karyotype,29163
IRAK1,341673,,Karyotype,29983
IL19,695318,,Karyotype,30289
PCSK9,490117,,Karyotype,29066
NHS,674525,,Karyotype,29205
TCN2,958274,,Karyotype,29479
AHI1,364700,,Karyotype,29015
PTH1R,776536,,Karyotype,29597
SMYD3,517871,,Karyotype,29103
RUNX2,733306,,Karyotype,29645
HDAC9,847997,,Karyotype,30025
EP300,485640,,Karyotype,29208
COL11A1,287169,,Karyotype,29972
TNC,836617,,Karyotype,29642
LMX1B,933209,,Karyotype,30063
SMO,858228,,Karyotype,30016
HLA-DPB1,718624,,Karyotype,30147
GNAS,613391,,Karyotype,28963
APOE,649810,,Karyotype,29957
SPI1,816673,,Karyotype,30096
BRCA1,301922,,Karyotype,29449
BRCA2,456737,,Karyotype,30184
DPYD,772726,,Karyotype,29403
MSH6,829173,,Karyotype,29119
MLH1,525060,,Karyotype,29285
MSH2,422914,,Karyotype,29699
PMS2,165124,,Karyotype,29368
PAH,914385,,Karyotype,30126
USH2A,549764,,Karyotype,29414
CDH23,891004,,Karyotype,29806
SHOC2,138777,,Karyotype,28990
CFTR,267956,,Karyotype,30113
PTEN,231096,,Karyotype,30158
MAP2K2,674589,,Karyotype,30201
G6PD,771160,,Karyotype,29210
MYO7A,847610,,Karyotype,29434
CDH1,780567,,Karyotype,29182
KRAS,549842,,Karyotype,29347
HRAS,737337,,Karyotype,29221
SOS1,339984,,Karyotype,29399
PTPN11,699628,,Karyotype,29977
MAP2K1,574546,,Karyotype,29172
RAF1,653311,,Karyotype,29532
BRAF,742840,,Karyotype,29437
MYH7,438726,,Karyotype,30144
EPHX1,520934,,Karyotype,29885
EGFR,366124,,Karyotype,29962
ABCG2,752336,,Karyotype,29918
UMPS,539145,,Karyotype,29882
CPPB,653260,,Karyotype,29033
RFB,612199,,Karyotype,29073
CTXA,166397,,Karyotype,28979
HLYA,931520,,Karyotype,29126
TOX,449408,,Karyotype,29071
POLA,803053,,Karyotype,29248
IS6110,105308,,Karyotype,29290
FLAB,434375,,Karyotype,29196
OSPA,740621,,Karyotype,29871
IS481,212469,,Karyotype,29102
PAG,455069,,Karyotype,29689
GP,625606,,Karyotype,29677
NP,323919,,Karyotype,29438
HMBS,201143,,Karyotype,29938
GAG,593374,,Karyotype,29350
N,394903,,Karyotype,30239
Core Antigen Gene,167265,,Karyotype,29434
Surface Antigen Gene,140944,,Karyotype,29980
GB,488162,,Karyotype,30283
TSA,566926,,Karyotype,29567
ACADSB,630931,,Karyotype,30230
CYP21A2,136090,,Karyotype,30178
HMGCS2,411613,,Karyotype,30012
AUH,750538,,Karyotype,29245
FLT3,434555,,Karyotype,29953
IDH2,422509,,Karyotype,29545
KIT,786252,,Karyotype,29063
ABCD1,154993,,Karyotype,29202
ADSL,917853,,Karyotype,29966
SLC25A13,265855,,Karyotype,30146
ABCA4,463001,,Karyotype,29738
FBLN5,936044,,Karyotype,29377
HGD,868822,,Karyotype,29294
SERPINA1,504201,,Karyotype,29956
APP,654237,,Karyotype,29905
PSEN1,103148,,Karyotype,30075
FIG4,152433,,Karyotype,29817
VCP,126091,,Karyotype,29680
MATR3,237535,,Karyotype,29396
DCTN1,114758,,Karyotype,30144
SOD1,375571,,Karyotype,28959
TARDBP,609389,,Karyotype,29059
ALS2,594915,,Karyotype,29873
SETX,525357,,Karyotype,29465
VAPB,357789,,Karyotype,29134
COL4A4,560358,,Karyotype,29397
FOXP3,485377,,Karyotype,29050
HBB,345772,,Karyotype,29565
TTR,775865,,Karyotype,30107
SERPINC1,600316,,Karyotype,29879
DDC,578065,,Karyotype,29711
AGA,276955,,Karyotype,30149
KCNQ1,139541,,Karyotype,30175
CHRNA1,160814,,Karyotype,28990
SHANK2,313452,,Karyotype,29121
EHMT1,909338,,Karyotype,30254
MBD5,550140,,Karyotype,28988
MEF2C,672212,,Karyotype,29165
NR3C2,635241,,Karyotype,29553
RNF135,799799,,Karyotype,29113
TSC2,155935,,Karyotype,29291
NLGN3,190287,,Karyotype,29203
CDKL5,841349,,Karyotype,29606
POLG,726337,,Karyotype,29470
STXBP1,301737,,Karyotype,29876
PKD2,731076,,Karyotype,29879
PKD1,141990,,Karyotype,29438
CLCNKA,541958,,Karyotype,28973
GJB2,145083,,Karyotype,30012
GPSM2,589560,,Karyotype,30068
GRXCR1,224186,,Karyotype,30246
LOXHD1,674661,,Karyotype,30001
MARVELD2,738666,,Karyotype,30193
OTOF,581320,,Karyotype,29049
SLC26A4,171463,,Karyotype,29054
TECTA,532885,,Karyotype,29819
TMC1,148082,,Karyotype,30041
USH1G,530244,,Karyotype,29629
WHRN,893986,,Karyotype,29637
PALB2,733526,,Karyotype,29165
PTCH1,270999,,Karyotype,30054
FGFR3,373590,,Karyotype,29105
TSC1,570735,,Karyotype,29521
F11,649571,,Karyotype,29296
F7,976557,,Karyotype,29423
FGA,264051,,Karyotype,30089
FGG,199467,,Karyotype,29191
SERPINF2,487996,,Karyotype,29862
VWF,945743,,Karyotype,29962
F8,464615,,Karyotype,29463
F9,622382,,Karyotype,29051
CNGA3,499606,,Karyotype,29780
NR2E3,929656,,Karyotype,29972
BRIP1,973497,,Karyotype,30200
NF1,631879,,Karyotype,30005
RAD51C,910205,,Karyotype,29598
GNRHR,865550,,Karyotype,29775
BARD1,945205,,Karyotype,29181
ERBB2,378687,,Karyotype,29182
ESR1,168115,,Karyotype,30273
HERC2,260712,,Karyotype,29589
PIK3CA,637279,,Karyotype,29719
SMAD4,445791,,Karyotype,29190
NBN,784716,,Karyotype,29623
RAD50,801501,,Karyotype,29507
DSP,992012,,Karyotype,30173
PLN,954673,,Karyotype,29958
MYBPC3,671299,,Karyotype,29733
PROK2,694979,,Karyotype,30046
ACTA2,904970,,Karyotype,29497
BAG3,397202,,Karyotype,30261
CASQ2,970222,,Karyotype,28941
CBS,470011,,Karyotype,30124
COL3A1,339854,,Karyotype,30036
COL5A1,255426,,Karyotype,29073
DMD,508147,,Karyotype,29252
DSG2,942958,,Karyotype,29686
EMD,493037,,Karyotype,29538
FBN1,421072,,Karyotype,29571
FLNA,283179,,Karyotype,29989
GLA,807044,,Karyotype,29795
KCNH2,386514,,Karyotype,30201
KCNJ2,609033,,Karyotype,29528
LAMP2,282422,,Karyotype,29784
LMNA,249097,,Karyotype,28972
MYH11,966168,,Karyotype,29185
MYL2,943917,,Karyotype,30067
PKP2,917733,,Karyotype,29105
PLOD1,532930,,Karyotype,30004
PRKAG2,894352,,Karyotype,29412
RBM20,930950,,Karyotype,29296
RYR2,735495,,Karyotype,29298
SLC2A10,307962,,Karyotype,29344
TAZ,329236,,Karyotype,30242
TGFB3,627548,,Karyotype,29959
TGFBR1,134419,,Karyotype,29637
TGFBR2,932202,,Karyotype,29511
TMEM43,840633,,Karyotype,30052
TNNI3,584314,,Karyotype,29633
TNNT2,635452,,Karyotype,29826
TPM1,536356,,Karyotype,30186
TTN,224466,,Karyotype,29851
SLC25A20,875528,,Karyotype,29139
CPT1A,730254,,Karyotype,29868
MMAA,137390,,Karyotype,29056
MMAB,181232,,Karyotype,29420
CTNNB1,310411,,Karyotype,29969
COL4A5,175431,,Karyotype,29686
MKS1,973285,,Karyotype,30084
NPHP3,623738,,Karyotype,29268
ALMS1,655658,,Karyotype,29407
GATA3,275850,,Karyotype,30140
AXIN2,408169,,Karyotype,29103
BAX,252469,,Karyotype,30090
BUB1,553526,,Karyotype,29035
DCC,400913,,Karyotype,29013
DLC1,572846,,Karyotype,29021
FLCN,675438,,Karyotype,29566
MCC,638098,,Karyotype,29324
MLH3,477638,,Karyotype,29247
MUTYH,786867,,Karyotype,29559
PPARG,240512,,Karyotype,29361
PTPRJ,551425,,Karyotype,29775
RAD54B,741567,,Karyotype,29312
PLA2G2A,153436,,Karyotype,29867
CYP11B1,431742,,Karyotype,29550
HSD3B7,709336,,Karyotype,29817
AMACR,191573,,Karyotype,30116
DUOX2,278499,,Karyotype,29075
TPO,264382,,Karyotype,30101
MBL2,656613,,Karyotype,30138
SLC3A1,866605,,Karyotype,29052
SLC7A9,633233,,Karyotype,29004
HNF1A,949200,,Karyotype,29313
KCNJ11,569572,,Karyotype,29088
PMM2,242961,,Karyotype,30223
WFS1,680434,,Karyotype,29039
GCK,578822,,Karyotype,29624
ABCC8,412918,,Karyotype,29626
AKT2,400871,,Karyotype,29669
CAPN3,493468,,Karyotype,29210
GPD2,507006,,Karyotype,29783
INSR,979407,,Karyotype,29859
MAPK8IP1,675294,,Karyotype,29865
NEUROD1,268500,,Karyotype,30132
PAX4,672653,,Karyotype,29451
PDX1,567347,,Karyotype,29344
SLC2A2,994957,,Karyotype,29150
MSH3,161978,,Karyotype,29375
ACAT1,371969,,Karyotype,29073
ALDH7A1,196969,,Karyotype,29147
ARSA,727340,,Karyotype,29689
ATP1A3,607388,,Karyotype,29700
CEP290,295497,,Karyotype,29241
MECP2,558953,,Karyotype,29814
POLR1C,930801,,Karyotype,29257
UROS,700076,,Karyotype,29928
WWOX,416773,,Karyotype,30288
ETHE1,376715,,Karyotype,29833
F5,881770,,Karyotype,30053
GLUD1,656711,,Karyotype,29598
MYH6,332747,,Karyotype,29132
ACTC1,809882,,Karyotype,30154
ACTN2,430074,,Karyotype,30228
MYL3,149086,,Karyotype,29416
GAA,835895,,Karyotype,30174
TCAP,276673,,Karyotype,28998
DES,984339,,Karyotype,29541
TTPA,332697,,Karyotype,29413
MEFV,928583,,Karyotype,29654
RET,745833,,Karyotype,29412
FANCA,968251,,Karyotype,29560
FANCC,465400,,Karyotype,29780
FANCD2,819044,,Karyotype,29324
FANCF,850894,,Karyotype,30213
FANCG,501417,,Karyotype,29279
FANCI,731969,,Karyotype,29955
FANCL,574471,,Karyotype,30124
FANCM,817071,,Karyotype,30251
GABRG2,339029,,Karyotype,30204
FXN,903355,,Karyotype,29715
GRN,372117,,Karyotype,30192
FBP1,743609,,Karyotype,29797
FSHR,545138,,Karyotype,30189
ABAT,740967,,Karyotype,29013
ACVR1,156935,,Karyotype,29953
SLC2A1,177333,,Karyotype,30225
ETFA,653392,,Karyotype,29002
ETFDH,717397,,Karyotype,29175
G6PC,534467,,Karyotype,29407
GYS2,280644,,Karyotype,30267
PFKM,785719,,Karyotype,29673
SLC37A4,774385,,Karyotype,28993
HPD,563813,,Karyotype,29442
HAMP,464255,,Karyotype,29950
HFE,712257,,Karyotype,29151
HJV,607025,,Karyotype,29916
TFR2,709616,,Karyotype,29580
SLC40A1,952195,,Karyotype,30030
SPTB,950603,,Karyotype,29983
AXIN1,955288,,Karyotype,30083
CASP8,756817,,Karyotype,30256
IGF2R,152614,,Karyotype,29855
F12,979949,,Karyotype,30025
CTRC,921464,,Karyotype,29431
PRSS1,465920,,Karyotype,30073
SPINK1,544989,,Karyotype,29293
MMACHC,692762,,Karyotype,29044
MTR,462037,,Karyotype,29032
LDLR,132410,,Karyotype,29642
LPL,547139,,Karyotype,29307
CASR,643731,,Karyotype,29757
MEN1,506591,,Karyotype,29076
PTH,217621,,Karyotype,29844
AIRE,571842,,Karyotype,29982
GDAP1,744150,,Karyotype,30011
TNFRSF13B,381844,,Karyotype,30056
PEX12,249971,,Karyotype,28953
ACAD8,447096,,Karyotype,29131
ARHGAP26,418259,,Karyotype,29324
OTC,717544,,Karyotype,29075
BCS1L,413431,,Karyotype,29063
FOXRED1,373444,,Karyotype,29071
NDUFAF2,432359,,Karyotype,29370
NDUFS4,502363,,Karyotype,29913
SURF1,821013,,Karyotype,29107
COX15,458655,,Karyotype,29503
SNCA,886265,,Karyotype,29412
SNCB,108158,,Karyotype,30088
ATP7B,530117,,Karyotype,29779
HADHA,301918,,Karyotype,30034
SLC7A7,398490,,Karyotype,30213
MLYCD,443041,,Karyotype,29803
BCKDHA,796686,,Karyotype,30280
BCKDHB,228456,,Karyotype,30143
DBT,964980,,Karyotype,30276
ACADM,371226,,Karyotype,29097
SUFU,541783,,Karyotype,29037
CDK4,802189,,Karyotype,29184
MITF,331925,,Karyotype,29230
STK11,825132,,Karyotype,29139
MAT1A,336664,,Karyotype,29845
MVK,511292,,Karyotype,30257
ARSB,464252,,Karyotype,29761
LIG4,151356,,Karyotype,29567
ANO5,671548,,Karyotype,29533
COL6A2,634209,,Karyotype,30038
FKRP,819992,,Karyotype,29237
NEB,714759,,Karyotype,28954
POMT2,796611,,Karyotype,29544
SGCA,159930,,Karyotype,29947
MFRP,327574,,Karyotype,30125
NPHS1,633821,,Karyotype,29507
B2M,987465,,Karyotype,30173
CASP10,151690,,Karyotype,30122
GLDC,609882,,Karyotype,29938
MC4R,470080,,Karyotype,29348
IRF6,960860,,Karyotype,29843
LRP6,522807,,Karyotype,29439
OPCML,566648,,Karyotype,28961
RRAS2,111820,,Karyotype,30178
ACVR1B,110228,,Karyotype,29890
GBA,647870,,Karyotype,30081
FBXO7,192347,,Karyotype,29674
FOXI1,136524,,Karyotype,29343
CYP7B1,195439,,Karyotype,29264
MFN2,120458,,Karyotype,29899
NEFL,613309,,Karyotype,29849
PMP22,359662,,Karyotype,30014
KIF1B,698587,,Karyotype,29795
SDHA,942035,,Karyotype,29601
SDHB,948192,,Karyotype,29290
SDHD,868544,,Karyotype,30042
TMEM127,190962,,Karyotype,30029
VHL,628375,,Karyotype,28984
PHGDH,687290,,Karyotype,29840
ATP8B1,845213,,Karyotype,29401
ABCB11,584407,,Karyotype,29073
ABCB4,713586,,Karyotype,29341
TJP2,711994,,Karyotype,29024
PEPD,915204,,Karyotype,29203
PCCA,785047,,Karyotype,29741
PCCB,679763,,Karyotype,29646
AR,741340,,Karyotype,29328
MXI1,697972,,Karyotype,30074
PNP,560079,,Karyotype,30073
PDHA1,353872,,Karyotype,30060
PDHX,319910,,Karyotype,29016
ACADVL,626157,,Karyotype,30175
SCN4A,536749,,Karyotype,30183
PEX5,288469,,Karyotype,29105
PEX7,861859,,Karyotype,29497
ABCG5,756626,,Karyotype,29056
ABCG8,437396,,Karyotype,29261
DHCR7,489110,,Karyotype,29170
IRF1,850532,,Karyotype,29678
KLF6,599972,,Karyotype,29360
NOTCH3,649366,,Karyotype,29800
ALDH5A1,264142,,Karyotype,30180
SUOX,668294,,Karyotype,29154
DICER1,344693,,Karyotype,30221
TALDO1,774429,,Karyotype,29902
FMO3,777783,,Karyotype,30034
BBS1,450803,,Karyotype,30217
PCDH15,611639,,Karyotype,29944
PROM1,448162,,Karyotype,30136
USH1C,600306,,Karyotype,28988
ESPN,717617,,Karyotype,30251
GPC3,769549,,Karyotype,29786
WT1,291508,,Karyotype,29935
PEX1,630542,,Karyotype,29527
PEX3,326499,,Karyotype,29535
PEX6,607161,,Karyotype,30266
EFHC1,280181,,Karyotype,29978
L2HGDH,755605,,Karyotype,28995
GALNS,817203,,Karyotype,29762
IRF5,223519,,Karyotype,29311
FLNC,303174,,Karyotype,29702
CSRP3,263187,,Karyotype,28983
NEXN,291842,,Karyotype,29131
FANCE,119512,,Karyotype,29798
ERCC4,831905,,Karyotype,29928
RAD51,620568,,Karyotype,29388
GCDH,155927,,Karyotype,28949
GGCX,736270,,Karyotype,29678
VKORC1,575810,,Karyotype,29684
MYOC,909291,,Karyotype,30121
NTF4,724253,,Karyotype,29803
CYP1B1,330061,,Karyotype,29488
LTBP2,192168,,Karyotype,29713
TEK,198434,,Karyotype,29124
BMP4,768807,,Karyotype,29157
MSX1,870850,,Karyotype,30243
MET,269895,,Karyotype,29524
GFAP,190194,,Karyotype,29655
PAX6,226188,,Karyotype,29115
PKHD1,305733,,Karyotype,29428
ASPM,427806,,Karyotype,29404
ARL6,390835,,Karyotype,29885
BBS12,600827,,Karyotype,29848
BBS2,280241,,Karyotype,29654
BBS4,921596,,Karyotype,29970
BBS5,521228,,Karyotype,29440
BBS7,623819,,Karyotype,30205
MKKS,927049,,Karyotype,30238
SDCCAG8,199357,,Karyotype,29969
TRIM32,721869,,Karyotype,30002
TTC8,781730,,Karyotype,29009
MPZ,361933,,Karyotype,29192
BSCL2,534240,,Karyotype,29278
ATP7A,945953,,Karyotype,29162
CTDP1,430255,,Karyotype,29010
DNM2,902722,,Karyotype,29575
FGD4,153511,,Karyotype,29380
GJB1,539743,,Karyotype,30001
HSPB1,212764,,Karyotype,29503
HSPB8,879391,,Karyotype,29727
IGHMBP2,618585,,Karyotype,30265
INF2,914382,,Karyotype,29121
LITAF,673263,,Karyotype,30034
NDRG1,254397,,Karyotype,29072
NTRK1,676356,,Karyotype,29943
SBF2,994650,,Karyotype,29310
SH3TC2,194225,,Karyotype,29194
SLC12A6,992009,,Karyotype,29041
SPTLC1,317145,,Karyotype,29637
SPTLC2,577948,,Karyotype,30132
TRPV4,854166,,Karyotype,29853
CHD7,608367,,Karyotype,29716
SEMA3E,830785,,Karyotype,29485
COL1A1,322648,,Karyotype,30023
COL1A2,676689,,Karyotype,29569
COL5A2,592279,,Karyotype,29761
KCNE1,316753,,Karyotype,30156
ABCC6,657531,,Karyotype,29701
APOB,686185,,Karyotype,29037
GALT,966918,,Karyotype,29765
SDHC,683544,,Karyotype,30121
AIP,669141,,Karyotype,29341
APC,269483,,Karyotype,29890
BMPR1A,112408,,Karyotype,29580
SDHAF2,299903,,Karyotype,30163
SMARCB1,259845,,Karyotype,29211
CC2D2A,385004,,Karyotype,29117
INPP5E,978585,,Karyotype,29327
RPGRIP1L,117665,,Karyotype,29611
TMEM216,768727,,Karyotype,29250
TMEM67,886038,,Karyotype,29553
DYSF,841780,,Karyotype,28942
GNPTAB,106338,,Karyotype,28945
GLB1,498570,,Karyotype,29274
GLIS2,708561,,Karyotype,29215
INVS,208350,,Karyotype,29043
IQCB1,537794,,Karyotype,29484
NPHP1,756769,,Karyotype,29440
NPHP4,260921,,Karyotype,29719
CLN3,733388,,Karyotype,29251
CLN5,782782,,Karyotype,29833
CLN6,430878,,Karyotype,29516
CLN8,935953,,Karyotype,29757
PPT1,945358,,Karyotype,30059
TPP1,109007,,Karyotype,29018
